hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64,)",67,0.0,4.04964959200561e-05,0.0001,0.9918588330083336,80,175,0.6045375218150087
"(64,)",150,0.015561712647117793,0.00101,0.1,0.9419662145656358,87,700,-1.0
"(64, 32)",64,0.0,0.0008069378488562793,0.09315408968810725,0.9085622621284786,75,700,-1.0
"(64,)",150,0.0,0.00101,0.012034402722405376,0.37781177625760637,95,700,-1.0
"(64, 32)",115,0.2234400127431052,7.002398575485063e-05,0.020071114107972344,0.2801389080859245,92,173,-1.0
"(64,)",146,0.006551668064787507,0.0008255426082724552,0.06440904119165616,0.170471500345323,81,373,-1.0
"(64,)",84,0.01754293915029391,0.0004136013700578632,0.010445662530841907,0.7053982579978101,80,157,-1.0
"(64, 32)",132,0.01951872260534429,0.00024143830962156232,0.068205334528543,0.9603828237606694,92,174,-1.0
"(64,)",67,0.0,7.70928056594483e-05,0.0006307415191973071,0.9847137308424778,80,162,0.6191972076788831
"(64,)",150,0.0,7.464906860446211e-05,0.1,0.5557931800952062,75,700,-1.0
"(64,)",88,0.0,7.90796062022262e-05,0.007363316061696034,0.7256450822866587,80,276,-1.0
"(64,)",65,0.006690297457594355,8.963206140156355e-05,0.0008266945570041002,0.9591385889587459,80,150,0.6150087260034903
"(64,)",64,0.0054913435212892246,5.573118436307717e-05,0.0001,0.9629403703911067,79,150,0.606631762652705
"(64,)",144,0.017045174401163325,0.0002580759129829159,0.009559652634631027,0.9621408296124458,75,437,-1.0
"(64,)",70,0.007519018489547277,0.00014586089221301377,0.002526747534692201,0.9617166199832381,80,155,0.6097731239092495
"(64,)",68,0.253302983225672,0.00101,0.1,0.9594730100713685,95,700,-1.0
"(64,)",69,0.0,7.952491890698232e-05,0.0001,0.9602038687109236,80,172,0.6219895287958115
"(64,)",69,0.4,8.454787287123338e-05,0.1,0.9626647875240172,80,679,-1.0
"(64, 32)",69,0.4,0.00101,0.0001,0.9592893519342646,95,700,-1.0
"(64,)",65,0.10747409919680254,0.0007148941231452314,0.005882499982370834,0.15617001574610453,95,700,-1.0
"(64,)",150,0.4,0.00011624512812376992,0.1,0.5706358183993969,84,165,-1.0
"(64,)",67,0.03932748514572362,0.0003275021839413506,0.0013174589003060067,0.9602687615690625,89,188,-1.0
"(64, 32)",64,0.4,1e-06,0.09423183237319262,0.9613520435877652,80,173,0.23280977312390924
"(64, 32)",67,0.0,0.0004597071953119654,0.046194063028782324,0.9621325865058169,80,170,-1.0
"(64,)",67,0.0,0.00010905418780956249,0.0001,0.9578755309815289,79,166,0.6359511343804538
"(64, 32)",141,0.0,0.0001002976171232863,0.0005418580954595114,0.9692274890965206,79,169,-1.0
"(64,)",70,0.0,0.00011714463711006466,0.06320851611988654,0.9571083101615476,82,158,0.6380453752181501
"(64,)",72,0.0,0.00011381360235568664,0.06872830510219652,0.9584534346452086,75,150,0.6422338568935427
"(64, 32)",72,0.0,0.00011470362594748166,0.0001,0.9630998751133633,77,150,0.650610820244328
"(64, 32)",64,0.10879556716209321,1e-06,0.0001,0.8696324103598702,75,152,0.23339574896729878
"(64, 32)",72,0.1931644278252778,0.00011735971069901278,0.0001,0.9847252729024376,75,150,0.6739965095986039
"(64, 32)",72,0.15431456779614078,0.00011878888007302903,0.00033934692519666264,0.9684392377674925,80,160,0.6715532286212914
"(64, 32)",74,0.1498101827894147,0.00012316996432156052,0.0006554279075055609,0.9882704144625664,86,166,0.668760907504363
"(64,)",73,0.204833777959276,0.00012848218945033123,0.0001,0.9795809018714636,78,150,0.6118673647469459
"(64, 32)",72,0.15047728841681074,0.00010926925668803145,0.016145540266334444,0.9826279738341515,75,156,0.6719022687609074
"(64, 32)",70,0.1293714540403196,0.0001216588912056933,0.0001,0.9846531131371238,75,161,0.6652705061082024
"(64, 32)",76,0.14610531800830104,0.00010596969205785204,0.010126267045212448,0.9969567646499057,84,150,0.6673647469458988
"(64, 32)",74,0.24032625868791058,0.0001050783966331221,0.0001,0.999,93,169,-1.0
"(64, 32)",74,0.1404963725372315,0.00011878341873943026,0.01190784303591837,0.9887333845885323,85,163,0.6673647469458988
"(64, 32)",70,0.07233578282772878,9.481105748158373e-05,0.04134910491112968,0.9920137154518711,75,150,0.6607329842931937
"(64,)",75,0.13814388158083024,0.00010439919857604654,0.02268982845064146,0.9951368082495741,86,150,0.6136125654450263
"(64, 32)",74,0.14262672580310118,0.00012587958976122653,0.0025538098570375353,0.9883497221672848,85,166,0.6680628272251309
