hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64, 32)",87,0.1579147613218484,0.005675544055867756,0.055493954897161045,0.999,87,422,-1.0
"(64, 32)",87,0.27920712489972915,0.00099,0.002010987046027714,0.999,84,566,0.6086767895878524
"(64, 32)",66,0.3321451324609853,0.00099,0.05663128239719203,0.9600657777327205,84,314,0.6175704989154014
"(64, 32)",126,0.4,0.00099,0.02210604594340812,0.5462896227510939,95,369,-1.0
"(64, 32)",96,0.191722633697696,0.00099,0.05856731935410202,0.7362235983845908,88,624,0.4880694143167028
"(64, 32)",86,0.12895583582305759,0.00099,0.06456018154437086,0.6330208932334774,89,535,0.4822125813449024
"(64, 32)",85,0.3698765824573997,0.00099,0.0705252047130379,0.37363872557717714,80,345,-1.0
"(64, 32)",140,0.23494781236400666,0.00099,0.004054814341127859,0.4682593182678823,77,150,-1.0
"(64, 32)",64,0.2429899528768635,0.00099,0.039454369808343284,0.999,77,303,0.6071583514099783
"(64, 32)",64,0.17824519463580088,0.00099,0.0001,0.999,94,413,0.5744034707158352
"(64, 32)",64,0.31401993920367904,0.004112295330432019,0.0001,0.999,84,159,0.588937093275488
"(64, 32)",64,0.23566757585507678,0.00099,0.010905242852069043,0.447204986154944,93,497,-1.0
"(64, 32)",150,0.12413959137232944,0.004407456761072303,0.0001,0.6687863497732442,77,488,-1.0
"(64, 32)",79,0.21400601469324154,0.00099,0.0001,0.80422177241619,85,226,-1.0
"(64, 32)",86,0.0897110453614839,0.00099,0.07086153637587894,0.737001972552794,76,520,-1.0
"(64, 32)",115,0.17778668563327937,0.00099,0.0001,0.9280317349959726,93,339,0.5331887201735358
"(64, 32)",64,0.4,0.00099,0.0001,0.999,95,700,0.6030368763557483
"(64, 32)",77,0.31013162537538674,0.006700931444019603,0.04849682078825573,0.999,78,358,-1.0
"(64, 32)",83,0.1962885059859805,0.00099,0.06037680342324153,0.678584448755624,87,606,0.4856832971800434
"(64, 32)",138,0.24619419225912686,0.00099,0.04736690350776418,0.7429250886233718,95,448,-1.0
"(64, 32)",77,0.1709370895955883,0.0014406826662456255,0.03723222346952735,0.7153043561085682,85,492,-1.0
