hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,recall
"(64, 32)",64,0.09224593026736573,0.07187255533178594,0.09696112899797109,0.06608472078538508,-1.0
"(64,)",65,0.11575837112587695,0.02,0.001044271704732654,0.999,0.6776572668112798
"(64,)",66,0.2853575482094275,0.03739997495240896,0.07203023535331693,0.9467095793680054,0.5353579175704989
"(64, 32)",124,0.17350215674429376,0.028964897117349706,0.035271558729340756,0.999,0.6078091106290673
"(64, 32)",91,0.24613617325059545,0.02,0.03527284604547536,0.04998625760145506,-1.0
"(64,)",90,0.29264963289901375,0.03810618175579551,0.01462262688031558,0.999,0.6160520607375272
"(64,)",111,0.06283306526462484,0.052425679589480786,0.05837143540207566,0.8506287796276877,0.4841648590021692
"(64, 32)",91,0.19555818683436013,0.07917068503935297,0.04710555088542539,0.999,0.6086767895878525
"(64,)",99,0.2324739444972846,0.02,0.09917115270713388,0.22300661138406253,0.5288503253796095
"(64, 32)",90,0.2648683101851637,0.02,0.015755301455153924,0.9769699164436829,0.561822125813449
"(64,)",90,0.36304640582122505,0.02,0.06608746450396515,0.857286108536885,0.4950108459869848
"(64,)",98,0.3539505210156906,0.02107177141139231,0.09631017836077047,0.4317565040381657,0.5184381778741866
"(64,)",110,0.16532646363586856,0.039052478970447266,0.0001,0.999,0.6633405639913232
"(64,)",129,0.1952914858433939,0.05960275522070717,0.05107897865443581,0.999,0.6039045553145336
"(64,)",105,0.08984982209715033,0.04126846354989448,0.001556831797690985,0.709304781312294,0.547939262472885
"(64, 32)",90,0.0,0.021196136300824203,0.0001,0.870068838782187,0.5579175704989154
"(64, 32)",90,0.20868904155887089,0.1,0.005576038372306809,0.999,0.5592190889370933
"(64, 32)",111,0.018088361889391277,0.031079854821061147,0.037563155347676264,0.8989707474829444,0.5010845986984815
"(64,)",125,0.27764446713881774,0.021105699089432307,0.002593934776795753,0.999,0.6963123644251626
"(64,)",125,0.06822682864085709,0.02,0.07645726901854986,0.6611028331173013,0.5106290672451194
"(64,)",125,0.015859125191738887,0.052541281322421335,0.09147735656459455,0.999,0.617353579175705
"(64, 32)",109,0.3670231064589587,0.07117715492635404,0.03571328817698444,0.999,0.6043383947939263
"(64,)",128,0.1602474307599793,0.02,0.007486888318948966,0.999,0.645119305856833
"(64, 32)",89,0.0,0.021103683342049116,0.030124996438677994,0.999,0.6039045553145336
"(64,)",90,0.0810591252283381,0.1,0.08586769528332579,0.999,0.6134490238611714
"(64,)",68,0.10500659445372809,0.02,0.007168905405753433,0.001,0.5540130151843817
"(64, 32)",124,0.0727619156816109,0.025167757806659325,0.02434783566529938,0.7989534755279937,0.5180043383947939
"(64,)",129,0.187611475333284,0.022788294480286176,0.09243817602982668,0.11118904608103494,0.5340563991323211
"(64, 32)",99,0.0217260638172002,0.02784806724033305,0.09800457425904228,0.2702140752191087,0.48720173535791755
"(64, 32)",125,0.36066815040299377,0.040716409479440024,0.04146162112113941,0.999,0.6086767895878525
"(64,)",89,0.18092333111133424,0.08247166733454822,0.008360304286231785,0.2657474783006068,0.5600867678958785
"(64, 32)",125,0.06262215729354219,0.0954954327944949,0.039116454374648085,0.999,0.6078091106290673
"(64,)",129,0.22231233815794962,0.05075787794420836,0.013162016069229307,0.999,0.620824295010846
