hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64, 32)",110,0.012487654203899282,0.023600209693891774,0.0013858516989944038,0.4662765449985952,0.35370950888192265
"(64,)",128,0.0014182053903237794,0.03163006563704211,0.07551533315447273,0.24441145135196649,0.27568791361894807
"(64,)",92,0.0022163446605749653,0.07687380643677719,0.06374627998239253,0.9952532875909315,0.26367119470567746
"(64,)",104,0.3962999113471103,0.09927523003188798,0.08398557605497456,0.26386842651478354,0.25339602925809823
"(64, 32)",106,0.3901483372690146,0.09051845132772564,0.06359195028385517,0.9989506037511112,0.27673284569836293
"(64, 32)",88,0.003018805852792062,0.05142231821090126,0.03237723357430748,0.001575454581971165,0.37652385928248
"(64, 32)",137,0.0074361626968185955,0.09205948758290018,0.028914513931472804,0.9908383235832399,0.26436781609195403
"(64,)",113,0.20662598181346303,0.02400794900626446,0.03017914563596194,0.014445621430155323,0.35318704284221525
"(64,)",98,0.0028883810044204603,0.08333881421404295,0.033456509660338044,0.9937425341220348,0.2608847091605712
"(64, 32)",132,0.395036071307207,0.021223566903494088,0.026704319992705745,0.14686393476633894,0.25339602925809823
"(64,)",132,0.399350639312526,0.09233123030309046,0.01988966674524308,0.9742758352212199,0.26889585510275166
"(64, 32)",79,0.39062006627731305,0.032090597053361765,0.004564725733921812,0.9881492864022039,0.26436781609195403
"(64,)",105,0.013643610649891528,0.03827628599790528,0.09850742979315165,0.6190360052757755,0.259317311041449
"(64, 32)",123,0.18332884827705787,0.09987253767494277,0.06881107153439048,0.0017070387211785964,0.2502612330198537
"(64, 32)",101,0.005722324736492059,0.026034515107264664,0.015222299642536576,0.004481919994370862,0.3719958202716823
"(64, 32)",110,0.21232522327541178,0.07154663373275297,0.09824819692786327,0.016779583226018965,0.2500870776732846
"(64, 32)",113,0.17724951448508575,0.02174539465319061,0.09901456954604723,0.9857979456959648,0.28561476837338906
"(64,)",93,0.23075972879198756,0.09988339888810571,0.0006596001727493556,0.325147079101948,0.2941483803552769
"(64, 32)",124,0.39991575301958066,0.04859927301847162,0.001358412032838355,0.2383660911701909,0.28300243817485193
"(64,)",110,0.0038536852273452836,0.07510896359581079,0.037346171345252366,0.6733888842463057,0.3458725182863114
"(64,)",105,0.3949299075593796,0.030600217702834734,0.006884012549692716,0.7162517582738286,0.35353535353535354
"(64, 32)",116,0.0016228438761116241,0.03849842822284735,0.010720870992931978,0.7485916121327073,0.3634622082897945
"(64, 32)",86,0.39173402832310855,0.05060493604100108,0.050198042437924834,0.2721314769452455,0.2504353883664229
"(64,)",131,0.39880387204098916,0.08928729445374488,0.04097415907545527,0.4421890067398982,0.30860327412051547
"(64, 32)",120,0.0019645632735667998,0.08966727429027499,0.07721882872960255,0.29285473822245267,0.25165447579240685
